,Gross domestic product 2012,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
TCD,123,,Chad," 12,887 ",,,,,
ALB,124,,Albania," 12,648 ",,,,,
BFA,125,,Burkina Faso," 10,726 ",,,,,
NIC,126,,Nicaragua," 10,507 ",,,,,
MUS,127,,Mauritius," 10,486 ",,,,,
MLI,128,,Mali," 10,388 ",,,,,
MNG,129,,Mongolia," 10,271 ",,,,,
SSD,130,,South Sudan," 10,220 ",,,,,
MDG,131,,Madagascar," 9,975 ",,,,,
ARM,132,,Armenia," 9,951 ",,,,,
ZWE,133,,Zimbabwe," 9,802 ",,,,,
MKD,134,,"Macedonia, FYR"," 9,613 ",,,,,
LAO,135,,Lao PDR," 9,418 ",,,,,
MLT,136,,Malta," 8,722 ",,,,,
BHS,137,,"Bahamas, The"," 8,149 ",,,,,
HTI,138,,Haiti," 7,843 ",,,,,
TJK,139,,Tajikistan," 7,633 ",,,,,
BEN,140,,Benin," 7,557 ",,,,,
MDA,141,,Moldova," 7,253 ",f,,,,
RWA,142,,Rwanda," 7,103 ",,,,,
NER,143,,Niger," 6,773 ",,,,,
KGZ,144,,Kyrgyz Republic," 6,475 ",,,,,
KSV,145,,Kosovo," 6,445 ",,,,,
MCO,146,,Monaco," 6,075 ",,,,,
GIN,147,,Guinea," 5,632 ",,,,,
BMU,148,,Bermuda," 5,474 ",,,,,
SUR,149,,Suriname," 5,012 ",,,,,
MNE,150,,Montenegro," 4,373 ",,,,,
MWI,151,,Malawi," 4,264 ",,,,,
BRB,152,,Barbados," 4,225 ",,,,,
MRT,153,,Mauritania," 4,199 ",,,,,
FJI,154,,Fiji," 3,908 ",,,,,
TGO,155,,Togo," 3,814 ",,,,,
SLE,156,,Sierra Leone," 3,796 ",,,,,
SWZ,157,,Swaziland," 3,744 ",,,,,
ERI,158,,Eritrea," 3,092 ",,,,,
GUY,159,,Guyana," 2,851 ",,,,,
ABW,160,,Aruba," 2,584 ",,,,,
BDI,161,,Burundi," 2,472 ",,,,,
LSO,162,,Lesotho," 2,448 ",,,,,
MDV,163,,Maldives," 2,222 ",,,,,
CAF,164,,Central African Republic," 2,184 ",,,,,
CPV,165,,Cape Verde," 1,827 ",,,,,
BTN,166,,Bhutan," 1,780 ",,,,,
LBR,167,,Liberia," 1,734 ",,,,,
BLZ,168,,Belize," 1,493 ",,,,,
TMP,169,,Timor-Leste," 1,293 ",,,,,
LCA,170,,St. Lucia," 1,239 ",,,,,
ATG,171,,Antigua and Barbuda," 1,134 ",,,,,
SYC,172,,Seychelles," 1,129 ",,,,,
SLB,173,,Solomon Islands," 1,008 ",,,,,
GMB,174,,"Gambia, The", 907 ,,,,,
GNB,175,,Guinea-Bissau, 822 ,,,,,
VUT,176,,Vanuatu, 787 ,,,,,
GRD,177,,Grenada, 767 ,,,,,
KNA,177,,St. Kitts and Nevis, 767 ,,,,,
VCT,179,,St. Vincent and the Grenadines, 713 ,,,,,
WSM,180,,Samoa, 684 ,,,,,
COM,181,,Comoros, 596 ,,,,,
DMA,182,,Dominica, 480 ,,,,,
TON,183,,Tonga, 472 ,,,,,
FSM,184,,"Micronesia, Fed. Sts.", 326 ,,,,,
STP,185,,São Tomé and Principe, 263 ,,,,,
PLW,186,,Palau, 228 ,,,,,
MHL,187,,Marshall Islands, 182 ,,,,,
KIR,188,,Kiribati, 175 ,,,,,
TUV,189,,Tuvalu, 40 ,,,,,
,,,,,,,,,
ASM,,,American Samoa,..,,,,,
ADO,,,Andorra,..,,,,,
CYM,,,Cayman Islands,..,,,,,
CHI,,,Channel Islands,..,,,,,
CUW,,,Curaçao,..,,,,,
DJI,,,Djibouti,..,,,,,
FRO,,,Faeroe Islands,..,,,,,
PYF,,,French Polynesia,..,,,,,
GRL,,,Greenland,..,,,,,
GUM,,,Guam,..,,,,,
IMY,,,Isle of Man,..,,,,,
PRK,,,"Korea, Dem. Rep.",..,,,,,
LBY,,,Libya,..,,,,,
LIE,,,Liechtenstein,..,,,,,
MMR,,,Myanmar,..,,,,,
NCL,,,New Caledonia,..,,,,,
MNP,,,Northern Mariana Islands,..,,,,,
SMR,,,San Marino,..,,,,,
SXM,,,Sint Maarten (Dutch part),..,,,,,
SOM,,,Somalia,..,,,,,
MAF,,,St. Martin (French part),..,,,,,
SYR,,,Syrian Arab Republic,..,,,,,
TCA,,,Turks and Caicos Islands,..,,,,,
VIR,,,Virgin Islands (U.S.),..,,,,,
WBG,,,West Bank and Gaza,..,,,,,
,,,,,,,,,
WLD,,,World,"72,489,728",,,,,
,,,,,,,,,
LIC,,,Low income,"505,676",,,,,
MIC,,,Middle income,"22,258,465",,,,,
LMC,,,  Lower middle income,"4,837,622",,,,,
UMC,,,  Upper middle income,"17,415,990",,,,,
LMY,,,Low & middle income,"22,778,699",,,,,
EAP,,,  East Asia & Pacific,"10,329,684",,,,,
